yago:isKnownFor	concept:ceoof 0.000032
yago:wasCreatedOnDate	concept:musicartistgenre 0.000000
yago:isLocatedIn	_concept:citylocatedincountry 0.000001
yago:created	concept:agentcreated 0.000146
yago:hasCurrency	concept:countrycurrency 0.006101
yago:participatedIn	_concept:citylocatedincountry 0.000000
yago:isLeaderOf	concept:personleadscity 0.001877
yago:livesIn	concept:personleadscity 0.000054
yago:happenedIn	_concept:cityliesonriver 0.000001
yago:isCitizenOf	concept:personhascitizenship 0.000003
yago:worksAt	concept:worksfor 0.000007
yago:graduatedFrom	concept:personhasresidenceingeopoliticallocation 0.000008
yago:isMarriedTo	concept:hasspouse 0.000616
yago:hasCapital	_concept:citycapitalofcountry 0.034001
yago:hasWebsite	concept:organizationhasofficialwebsite 0.000000
yago:hasWonPrize	concept:teamwontrophy 0.000001
yago:directed	concept:directordirectedmovie 0.000541
yago:isPoliticianOf	concept:personhasresidenceingeopoliticallocation 0.011088
yago:actedIn	concept:actorstarredinmovie 0.000064
yago:hasOfficialLanguage	_concept:languageofcountry 0.314187
yago:hasChild	concept:fatherofperson 0.000019
yago:wasBornIn	concept:writerwasbornincity 0.000004
